region,month,min_temp,max_temp,precip,season
북부,1,23.1,30.5,260.1,rainy
북부,2,23.1,30.4,288.3,rainy
북부,3,23.2,30.6,313.5,rainy
북부,4,23.3,30.7,300.1,rainy
북부,5,23.3,30.8,256.3,rainy
북부,6,23.0,31.0,113.6,dry
북부,7,22.7,31.3,87.5,dry
북부,8,23.0,32.6,57.9,dry
북부,9,23.5,32.9,83.3,dry
북부,10,23.7,32.8,125.7,dry
북부,11,23.7,32.1,183.0,rainy
북부,12,23.5,31.3,216.9,rainy
북동부,1,23.7,29.9,110.9,dry
북동부,2,23.9,30.0,121.2,dry
북동부,3,24.1,30.0,144.6,dry
북동부,4,22.9,28.6,321.6,rainy
북동부,5,23.0,27.7,324.8,rainy
북동부,6,22.1,26.5,251.4,rainy
북동부,7,21.4,26.2,203.6,rainy
북동부,8,21.3,26.4,135.9,dry
북동부,9,21.8,27.2,112.2,dry
북동부,10,22.5,28.1,122.2,dry
북동부,11,22.9,28.9,118.5,dry
북동부,12,23.2,29.0,132.0,dry
중서부,1,17.4,26.9,241.4,rainy
중서부,2,17.4,26.7,214.7,rainy
중서부,3,17.5,27.1,188.9,rainy
중서부,4,16.8,26.6,123.8,dry
중서부,5,15.0,25.7,39.3,dry
중서부,6,13.3,25.2,8.8,dry
중서부,7,12.9,25.1,11.8,dry
중서부,8,14.6,27.3,12.8,dry
중서부,9,16.0,28.3,51.9,dry
중서부,10,17.4,27.5,172.1,rainy
중서부,11,17.5,26.6,238.0,rainy
중서부,12,17.5,26.2,248.6,rainy
남동부,1,18.7,27.3,238.7,rainy
남동부,2,18.8,28.0,217.4,rainy
남동부,3,18.2,27.2,159.8,rainy
남동부,4,16.3,25.1,75.8,dry
남동부,5,13.8,23.0,73.6,dry
남동부,6,12.4,21.8,55.7,dry
남동부,7,11.7,21.8,44.1,dry
남동부,8,12.8,23.3,38.9,dry
남동부,9,13.9,23.9,80.5,dry
남동부,10,15.3,24.8,123.6,dry
남동부,11,16.6,25.9,145.8,dry
남동부,12,17.7,26.3,200.9,rainy
남부,1,15.8,25.6,165.0,rainy
남부,2,16.3,25.8,142.1,dry
남부,3,15.4,24.9,126.6,dry
남부,4,12.8,22.3,90.0,dry
남부,5,10.2,21.1,99.2,dry
남부,6,7.8,18.3,98.1,dry
남부,7,8.1,19.4,89.0,dry
남부,8,9.2,20.9,74.5,dry
남부,9,10.8,21.3,115.4,dry
남부,10,12.5,22.6,134.2,dry
남부,11,14.0,24.5,123.8,dry
남부,12,15.4,25.4,150.1,rainy
